koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.93054,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Flyover Pondok Kopi,Jalan I Gusti Ngurah Rai,-6.216689
106.715266,2024,Kota Adm. Jakarta Barat,Kalideres,Kalideres,Pesakih,Jalan Daan Mogot,-6.154803
106.816983,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Petojo,Jalan Suryopranoto,-6.169984
106.866352,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,Cililitan,Jalan Mayor Jenderal Sutoyo,-6.262494
106.865696,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,PGC,Transjakarta Busway Koridor 10,-6.2619
106.886338,2024,Kota Adm. Jakarta Timur,Makasar,Makasar,Pinang Ranti,Gang Gombrang II,-6.291075
106.790371,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pluit,Jalan Pluit Permai,-6.115795
106.8937,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Koja,Plumpang,Jalan Yos Sudarso,-6.12848
106.822997,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Bundaran HI Astra,Jalan Mohammad Husni Thamrin,-6.193021
106.779986,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Underpass Lebak Bulus,Jalan Metro Pondok Indah,-6.286761
106.783649,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Pondok Indah,Jalan Metro Pondok Indah,-6.267231
106.772043,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Pondok Pinang,Jalan Pondok Pinang Raya,-6.28217
106.77226,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Pos Pengumben,Jalan Panjang Raya,-6.212935
106.874011,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Simpang Pramuka,Jalan Pramuka,-6.192192
106.868576,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pramuka Sari,Jalan Pramuka,-6.192238
106.915612,2024,Kota Adm. Jakarta Timur,Cakung,Rawatrate,PTC Pulo Gadung,Jalan Bekasi Raya,-6.182622
106.90885,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pulo Gadung,Jalan Bekasi Raya,-6.183325
106.952651,2024,Kota Adm. Jakarta Timur,Cakung,Pulo Gebang,Pulo Gebang,Jalan Tol Lingkar Luar Jakarta,-6.212697
106.892774,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Kelapa Gading,Pulo Mas,Jalan Perintis Kemerdekaan,-6.174736
107.002805,2024,Kota Bekasi,Bekasi Utara,Summarecon,Summarecon Bekasi,Jalan Bulevar Ahmad Yani,-6.225566
106.719288,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Sumur Bor,Jalan Daan Mogot,-6.153046
106.883668,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Kayu Jati,Jalan Pemuda,-6.193267
